benchmark,cores,l1Size,simTicks,simSeconds,overallCPI,totalL1MissesRate,iCacheMissesRate,dCacheMissesRate,speedup,resultDir
lu,4,4KiB,464319807000,0.464320,4.2925,0.004188,0.000036,0.018281,1.0000,case2_lu_core1
lu,4,8KiB,458319638000,0.458320,4.2371,0.001520,0.000022,0.006605,1.0131,case2_lu_core2
lu,4,16KiB,457592791000,0.457593,4.2304,0.001254,0.000011,0.005472,1.0147,case2_lu_core4
lu,4,32KiB,457363705000,0.457364,4.2283,0.001238,0.000009,0.005409,1.0152,case2_lu_core8
lu,4,64KiB,457222471000,0.457222,4.2270,0.001220,0.000006,0.005342,1.0155,case2_lu_core16
ocean,4,4KiB,571107819000,0.571108,6.1774,0.044043,0.000456,0.199812,1.0000,case2_ocean_core1
ocean,4,8KiB,522346177000,0.522346,5.6499,0.024407,0.000192,0.110945,1.0934,case2_ocean_core2
ocean,4,16KiB,519781335000,0.519781,5.6222,0.023321,0.000124,0.106221,1.0987,case2_ocean_core4
ocean,4,32KiB,510258949000,0.510259,5.5192,0.019153,0.000091,0.087275,1.1193,case2_ocean_core8
ocean,4,64KiB,492593392000,0.492593,5.3285,0.015132,0.000046,0.069048,1.1594,case2_ocean_core16
radix,4,4KiB,119869889000,0.119870,3.8173,0.016380,0.000059,0.116740,1.0000,case2_radix_core1
radix,4,8KiB,117286146000,0.117286,3.7351,0.012677,0.000045,0.090352,1.0220,case2_radix_core2
radix,4,16KiB,114947796000,0.114948,3.6607,0.009383,0.000030,0.066898,1.0428,case2_radix_core4
radix,4,32KiB,112951611000,0.112952,3.5972,0.007540,0.000022,0.053765,1.0612,case2_radix_core8
radix,4,64KiB,110142752000,0.110143,3.5078,0.005825,0.000018,0.041534,1.0883,case2_radix_core16
